"Product";"Seller";"Authority";"Comp_size";"Competitors";"Purch_dept";"Partnership";"Budgt_alloc";"Forml_tend";"RFI";"RFP";"Growth";"Posit_statm";"Source";"Client";"Scope";"Strat_deal";"Cross_sale";"Up_sale";"Deal_type";"Needs_def";"Att_t_client";"Status"
"Product C";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"Yes";"Yes";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product N";"Seller 9";"Mid";"Small";"Yes";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 1";"Mid";"Mid";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Mid";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product L";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"No";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Small";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product E";"Seller 9";"Mid";"Small";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Low";"Average important";"No";"No";"Project";"No";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Small";"Yes";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product J";"Seller 1";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 1";"Mid";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Small";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product E";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Mid";"Yes";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product F";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Consulting";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product J";"Seller 9";"Mid";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product H";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product H";"Seller 1";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Big";"No";"Yes";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product E";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product H";"Seller 9";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"No";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product H";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product H";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product H";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product H";"Seller 9";"Mid";"Small";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product E";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product G";"Seller 7";"Mid";"Big";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Lost"
"Product H";"Seller 1";"Mid";"Mid";"No";"Yes";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Referral";"Current";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 10";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product H";"Seller 1";"Mid";"Big";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product H";"Seller 1";"Mid";"Big";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product H";"Seller 1";"Mid";"Big";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product F";"Seller 4";"Mid";"Big";"Unknown";"No";"Yes";"Unknown";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product H";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product N";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product H";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product F";"Seller 4";"Mid";"Mid";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product F";"Seller 4";"Mid";"Mid";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product F";"Seller 4";"Mid";"Mid";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product H";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product H";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Strategic account";"Won"
"Product H";"Seller 4";"Mid";"Big";"No";"No";"Yes";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Mid";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Unknown";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product H";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Unknown";"Neutral";"Direct mail";"New";"Clear";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product C";"Seller 9";"Mid";"Mid";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Consulting";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Low";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Unknown";"No";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product C";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Won"
"Product C";"Seller 9";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product A";"Seller 9";"Mid";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product E";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"Low";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Unknown";"No";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 15";"Mid";"Big";"Yes";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Info gathering";"First deal";"Lost"
"Product A";"Seller 3";"High";"Big";"Yes";"Yes";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Low";"Very important";"Yes";"No";"Project";"No";"Strategic account";"Lost"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Strategic account";"Won"
"Product F";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 9";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product H";"Seller 3";"High";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product C";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Won"
"Product C";"Seller 9";"Mid";"Big";"Yes";"No";"No";"Unknown";"Yes";"No";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"Low";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Unknown";"No";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product H";"Seller 3";"High";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Low";"Mid";"Unknown";"No";"No";"No";"No";"Yes";"Yes";"Unknown";"Neutral";"Direct mail";"New";"Clear";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product B";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Unknown";"No";"No";"Yes";"Stable";"Neutral";"Media";"New";"Few questions";"Unimportant";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Small";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Small";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"No";"Yes";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 2";"High";"Mid";"Yes";"Yes";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product B";"Seller 1";"Mid";"Small";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product C";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product F";"Seller 7";"Mid";"Big";"No";"No";"Yes";"No";"No";"No";"No";"Stable";"Neutral";"Joint past";"New";"Low";"Average important";"No";"No";"Project";"No";"First deal";"Won"
"Product F";"Seller 4";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Few questions";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 3";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Lost"
"Product C";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product C";"Seller 7";"Mid";"Big";"Yes";"No";"Yes";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Other";"New";"Few questions";"Average important";"No";"No";"Project";"Info gathering";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"Yes";"No";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Very important";"No";"No";"Solution";"Yes";"First deal";"Lost"
