"Product";"Seller";"Authority";"Comp_size";"Competitors";"Purch_dept";"Partnership";"Budgt_alloc";"Forml_tend";"RFI";"RFP";"Growth";"Posit_statm";"Source";"Client";"Scope";"Strat_deal";"Cross_sale";"Up_sale";"Deal_type";"Needs_def";"Att_t_client";"Status"
"Product D";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"Low";"Small";"Unknown";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Unknown";"Neutral";"Referral";"New";"Few questions";"Unimportant";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Big";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Other";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"No";"No";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Small";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"First deal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product H";"Seller 3";"High";"Big";"No";"No";"No";"Unknown";"No";"No";"Yes";"Growth";"Yes";"Joint past";"New";"Few questions";"Average important";"No";"No";"Consulting";"Yes";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"Yes";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"Low";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Unknown";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 1";"Mid";"Small";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Mid";"No";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"No";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product H";"Seller 3";"High";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product C";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Unknown";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product F";"Seller 4";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"First deal";"Won"
"Product C";"Seller 1";"Mid";"Big";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Growth";"Yes";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"Yes";"Unknown";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"Yes";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product C";"Seller 9";"Mid";"Small";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Lost"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"High";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"No";"Joint past";"Past";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"First deal";"Won"
"Product D";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 2";"High";"Mid";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Growth";"Neutral";"Joint past";"Past";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 1";"Mid";"Small";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product B";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"Yes";"No";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 9";"Mid";"Big";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"Yes";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product E";"Seller 9";"High";"Small";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Unknown";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Won"
"Product E";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product C";"Seller 9";"Mid";"Mid";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"Yes";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 17";"Mid";"Big";"Yes";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Few questions";"Average important";"Yes";"No";"Project";"Info gathering";"Normal";"Lost"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"Yes";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 10";"Mid";"Mid";"No";"No";"No";"Yes";"No";"No";"Yes";"Slow down";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"No";"Unknown";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Past";"Clear";"Unimportant";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 14";"Mid";"Big";"Yes";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Low";"Average important";"No";"No";"Project";"Info gathering";"First deal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Unknown";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product C";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product F";"Seller 1";"Mid";"Big";"Yes";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Very important";"No";"No";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 1";"Mid";"Big";"Yes";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Lost"
"Product C";"Seller 1";"Mid";"Mid";"No";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 9";"Mid";"Mid";"Yes";"Yes";"No";"Yes";"Yes";"No";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"Normal";"Lost"
"Product B";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"Yes";"No";"Project";"Yes";"Normal";"Won"
"Product B";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product B";"Seller 3";"Mid";"Big";"Yes";"Unknown";"No";"Unknown";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"Yes";"No";"Project";"Yes";"Strategic account";"Lost"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 9";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product A";"Seller 3";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Few questions";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Lost"
"Product A";"Seller 3";"Mid";"Big";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Yes";"Joint past";"Current";"Few questions";"Very important";"Yes";"No";"Project";"Yes";"Strategic account";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Referral";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 1";"Mid";"Big";"Yes";"No";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Lost"
"Product N";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"No";"No";"Yes";"Stable";"Neutral";"Media";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product E";"Seller 9";"High";"Small";"No";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Unknown";"Current";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product D";"Seller 1";"Mid";"Mid";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Maintenance";"Yes";"Normal";"Won"
"Product B";"Seller 9";"Mid";"Mid";"Unknown";"No";"No";"No";"No";"No";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Unimportant";"Yes";"No";"Project";"Yes";"Normal";"Won"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Maintenance";"Yes";"Strategic account";"Lost"
"Product A";"Seller 9";"Mid";"Big";"No";"No";"No";"Yes";"No";"No";"No";"Stable";"Yes";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Lost"
"Product D";"Seller 1";"Mid";"Big";"No";"Yes";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Big";"Yes";"Unknown";"No";"Yes";"No";"Yes";"Yes";"Stable";"Yes";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 1";"Mid";"Small";"No";"Yes";"No";"No";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Average important";"No";"Yes";"Solution";"Yes";"Normal";"Won"
"Product C";"Seller 9";"Mid";"Mid";"No";"No";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 9";"Mid";"Mid";"Yes";"No";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Joint past";"New";"Clear";"Average important";"No";"No";"Project";"Yes";"Normal";"Lost"
"Product A";"Seller 1";"Mid";"Big";"No";"No";"No";"Yes";"No";"Yes";"Yes";"Stable";"Neutral";"Joint past";"Current";"Clear";"Very important";"No";"Yes";"Project";"Yes";"Strategic account";"Won"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Referral";"Current";"Few questions";"Very important";"Yes";"No";"Solution";"Info gathering";"Strategic account";"Lost"
"Product D";"Seller 2";"Low";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Growth";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 2";"Mid";"Big";"Yes";"Unknown";"No";"Yes";"Yes";"Yes";"Yes";"Stable";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 2";"Mid";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Growth";"Neutral";"Direct mail";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
"Product D";"Seller 1";"Low";"Mid";"Yes";"Unknown";"No";"Unknown";"No";"Yes";"Yes";"Stable";"Yes";"Referral";"New";"Clear";"Average important";"No";"No";"Solution";"Yes";"First deal";"Lost"
